"","V1"
"2",8
"3",3
"4",3
"6",3
"8",9
"9",5
"10",8
"11",8
"12",1
"13",8
"15",1
"16",8
"17",6
"18",8
"19",5
"21",2
"22",3
"24",1
"25",2
"27",4
"28",2
"29",8
"30",5
"31",7
"32",4
"33",3
"34",3
"36",8
"37",7
"38",4
"39",8
"40",3
"41",1
"42",2
"43",2
"45",3
"46",4
"48",4
"49",2
"50",4
"51",6
"52",3
"53",4
"54",8
"55",3
"56",3
"57",6
"58",2
"59",1
"60",3
"61",7
"63",4
"64",9
"65",3
"66",3
"67",8
"68",5
"69",5
"70",1
"71",8
"72",1
"74",2
"75",3
"77",4
"78",5
"79",4
"80",1
"81",2
"82",5
"83",3
"84",2
"85",1
"86",9
"87",1
"88",2
"89",2
"90",1
"91",3
"92",2
"94",1
"96",9
"97",1
"98",5
"99",1
"100",3
"101",1
"102",9
"103",7
"104",5
"105",5
"106",1
"107",2
"108",8
"109",1
"110",3
"111",4
"112",7
"113",1
"114",1
"115",7
"116",3
"117",4
"118",1
"119",4
"120",3
"121",8
"122",3
"123",7
"124",2
"125",4
"127",8
"128",1
"129",6
"130",1
"131",4
"132",7
"133",5
"134",6
"135",8
"136",3
"137",2
"139",2
"141",2
"142",3
"143",7
"144",3
"145",1
"146",2
"147",2
"148",3
"149",4
"150",1
"151",1
"152",3
"153",8
"154",1
"155",5
"157",7
"158",7
"159",3
"160",1
"161",2
"162",7
"163",4
"164",3
"165",9
"166",8
"167",1
"168",5
"169",1
"171",9
"172",3
"173",7
"174",6
"175",1
"176",5
"177",5
"178",5
"180",3
"181",7
"182",4
"183",3
"184",1
"185",2
"186",1
"188",3
"189",5
"190",3
"193",3
"194",3
"195",8
"196",2
"197",2
"198",4
"199",7
"200",3
"201",8
"202",5
"203",4
"204",7
"205",3
"206",9
"207",3
"208",9
"209",9
"211",4
"212",5
"213",4
"214",8
"215",1
"216",3
"217",4
"218",4
"219",1
"220",2
"221",3
"222",3
"223",3
"224",1
"225",2
"226",2
"227",6
"228",3
"229",3
"230",2
"231",4
"233",5
"234",3
"235",6
"236",7
"237",3
"238",2
"239",8
"240",3
"242",4
"243",9
"244",3
"245",4
"246",3
"247",6
"249",5
"250",8
"251",3
"252",2
"253",3
"254",4
"255",6
"256",4
"257",4
"258",8
"259",4
"260",5
"261",7
"262",3
"263",7
"265",4
"266",9
"267",1
"268",6
"269",6
"270",7
"272",8
"273",2
"274",2
"275",2
"276",8
"277",2
"278",4
"279",2
"280",1
"281",1
"282",4
"283",4
"284",6
"285",6
"286",4
"287",9
"288",4
"289",6
"290",3
"291",3
"292",8
"293",2
"294",1
"295",4
"296",1
"297",8
"298",9
"299",4
"300",3
"301",9
"302",9
"303",3
"304",1
"305",2
"306",1
"308",8
"309",3
"310",3
"311",2
"312",8
"313",1
"314",4
"316",9
"317",1
"318",5
"319",4
"320",8
"321",5
"322",2
"323",7
"324",1
"326",2
"328",5
"329",9
"330",9
"331",5
"332",1
"333",6
"334",6
"335",4
"336",2
"337",3
"338",7
"339",7
"340",2
"341",4
"342",8
"344",8
"345",2
"346",8
"347",7
"348",9
"350",4
"351",2
"352",3
"354",8
"355",6
"356",9
"357",7
"358",2
"359",2
"361",4
"362",4
"363",8
"364",3
"365",9
"366",5
"367",3
"368",5
"369",1
"371",1
"372",2
"373",1
"374",3
"375",5
"376",1
"377",4
"379",5
"380",5
"381",3
"382",3
"383",4
"384",4
"385",3
"386",1
"387",8
"388",6
"389",8
"390",4
"391",3
"392",2
"394",7
"395",4
"396",8
"397",4
"399",3
"400",9
"403",9
"404",5
"405",7
"406",4
"407",2
"408",5
"409",7
"410",4
"411",6
"412",3
"414",9
"415",1
"416",5
"417",9
"418",8
"421",6
"422",6
"424",1
"427",2
"428",6
"429",9
"430",4
"431",2
"433",4
"434",2
"435",3
"436",7
"437",8
"438",2
"439",3
"440",3
"441",2
"443",4
"444",7
"445",8
"446",2
"447",2
"448",3
"449",9
"450",2
"453",9
"455",4
"456",6
"457",3
"458",9
"459",3
"460",6
"461",1
"462",8
"463",6
"464",9
"465",8
"466",4
"467",2
"468",8
"469",4
"470",4
"471",3
"473",7
"474",5
"475",2
"476",2
"477",7
"478",4
"479",2
"480",7
"481",4
"482",8
"483",2
"484",7
"485",9
"486",6
"488",1
"489",2
"490",1
"492",5
"493",1
"494",6
"496",2
"498",9
"499",8
"500",3
"502",2
"503",4
"504",4
"505",9
"506",1
"507",1
"508",4
"509",3
"510",2
"511",8
"512",9
"513",8
"514",5
"515",1
"516",5
"517",6
"519",2
"522",3
"526",2
"527",5
"528",3
"529",5
"530",2
"531",1
"533",3
"534",1
"535",5
"536",8
"537",4
"538",9
"539",7
"540",8
"541",5
"542",2
"544",1
"546",6
"547",9
"548",5
"549",1
"550",4
"551",5
"552",7
"553",7
"554",5
"555",2
"556",1
"557",4
"558",7
"559",4
"560",3
"561",2
"562",7
"563",2
"564",3
"565",9
"566",4
"568",3
"569",4
"570",1
"571",8
"572",5
"573",8
"574",4
"575",4
"576",6
"577",4
"578",4
"579",2
"580",3
"581",3
"582",2
"584",5
"585",2
"586",1
"588",5
"589",6
"590",1
"591",5
"592",2
"593",7
"594",8
"595",3
"596",4
"598",3
"599",8
"600",2
"601",9
"602",6
"604",3
"605",2
"606",6
"607",3
"608",1
"609",4
"610",8
"611",2
"612",3
"613",4
"614",3
"615",6
"616",1
"617",6
"618",2
"619",3
"620",3
"621",9
"622",3
"623",3
"624",2
"625",4
"626",7
"627",2
"628",2
"629",5
"631",4
"632",2
"633",2
"635",3
"636",3
"637",2
"639",3
"640",3
"641",6
"642",4
"643",4
"644",3
"645",4
"646",7
"647",3
"648",3
"649",5
"650",3
"651",2
"652",2
"653",4
"656",2
"657",4
"658",8
"659",3
"660",9
"661",2
"662",4
"663",2
"664",2
"666",8
"669",3
"670",5
"671",9
"673",3
"674",1
"675",2
"676",7
"678",4
"679",4
"680",1
"682",2
"683",4
"684",5
"685",3
"686",8
"687",4
"689",1
"690",4
"692",3
"694",8
"695",2
"696",3
"697",6
"698",3
"699",8
"700",2
"701",7
"702",3
"704",1
"705",2
"710",6
"711",8
"712",4
"713",9
"714",3
"715",6
"716",2
"717",6
"720",6
"721",9
"723",4
"724",2
"725",3
"726",4
"727",3
"728",2
"729",1
"730",9
"731",3
"732",1
"733",3
"734",3
"735",4
"736",5
"737",1
"738",1
"740",6
"741",3
"742",7
"743",3
"744",3
"745",9
"746",3
"748",4
"749",6
"750",6
"751",2
"752",3
"753",5
"754",6
"755",1
"756",4
"757",6
"758",3
"759",8
"760",8
"761",2
"762",1
"763",8
"764",8
"765",4
"766",2
"767",5
"768",4
"769",6
"770",4
"771",2
"772",2
"773",2
"774",3
"775",8
"776",3
"777",8
"778",6
"779",2
"780",3
"781",5
"782",3
"783",5
"784",3
"785",7
"786",4
"788",3
"789",2
"790",4
"791",3
"792",6
"794",8
"795",8
"796",8
"797",4
"798",5
"800",4
"801",1
"802",2
"803",6
"804",2
"805",1
"806",2
"807",5
"808",1
"809",8
"810",1
"811",6
"812",4
"813",7
"814",4
"815",4
"816",8
"819",9
"820",2
"821",3
"822",2
"823",4
"824",3
"826",1
"827",3
"828",5
"831",9
"832",2
"833",5
"834",6
"836",8
"837",4
"838",5
"839",7
"840",9
"841",6
"842",6
"843",4
"845",1
"846",2
"847",3
"848",8
"849",9
"850",4
"851",4
"853",6
"854",8
"855",8
"856",3
"857",2
"858",8
"859",3
"860",6
"862",3
"863",6
"864",4
"865",4
"867",3
"868",5
"871",9
"873",3
"874",2
"876",1
"877",1
"878",3
"879",6
"881",2
"882",4
"883",5
"884",3
"885",3
"886",3
"887",2
"889",3
"890",2
"891",4
"893",4
"895",8
"896",9
"898",4
"899",8
"901",2
"903",6
"905",9
"906",2
"907",4
"908",4
"909",3
"910",5
"911",3
"912",3
"913",8
"914",2
"916",2
"917",4
"918",2
"919",8
"920",5
"921",1
"923",2
"924",8
"925",6
"926",5
"927",2
"928",4
"929",3
"930",4
"932",8
"933",3
"934",9
"935",1
"936",2
"937",4
"939",3
"940",7
"942",8
"943",2
"944",3
"947",7
"948",1
"949",8
"950",4
"951",3
"952",2
"953",2
"955",4
"956",1
"957",2
"958",4
"959",3
"960",2
"961",3
"962",2
"963",1
"964",5
"966",3
"967",6
"968",3
"969",6
"970",2
"971",7
"972",2
"973",9
"974",2
"975",5
"976",2
"977",1
"978",3
"979",2
"980",3
"981",9
"982",3
"983",7
"984",8
"985",8
"986",2
"987",2
"989",2
"990",9
"991",4
"994",8
"995",1
"996",4
"997",1
"998",3
"999",6
"1000",2
"1001",5
"1002",2
"1004",4
"1005",3
"1006",4
"1008",8
"1010",2
"1011",5
"1012",3
"1013",3
"1014",7
"1016",7
"1017",4
"1018",3
"1020",3
"1021",3
"1022",4
"1024",4
"1025",8
"1026",3
"1027",4
"1028",4
"1029",4
"1030",7
"1031",8
"1032",5
"1033",6
"1034",7
"1035",4
"1036",2
"1037",8
"1038",4
"1039",3
"1040",4
"1041",2
"1042",3
"1043",7
"1044",1
"1045",6
"1046",5
"1047",8
"1048",2
"1049",2
"1053",4
"1054",1
"1055",1
"1056",3
"1057",4
"1059",2
"1060",9
"1061",1
"1062",8
"1063",8
"1065",3
"1066",8
"1067",3
"1068",8
"1069",1
"1070",2
"1073",8
"1074",3
"1076",9
"1077",5
"1080",3
"1082",1
"1083",7
"1084",6
"1085",3
"1086",4
"1087",2
"1088",6
"1089",6
"1091",1
"1092",2
"1093",5
"1094",5
"1095",8
"1096",3
"1097",5
"1098",4
"1099",2
"1102",6
"1103",3
"1104",4
"1105",3
"1106",2
"1107",1
"1108",2
"1109",2
"1110",4
"1111",6
"1113",3
"1115",6
"1116",8
"1117",4
"1119",3
"1120",3
"1121",6
"1122",4
"1123",4
"1125",6
"1126",7
"1128",6
"1129",6
"1130",3
"1131",3
"1132",9
"1133",2
"1134",2
"1135",1
"1136",8
"1137",7
"1138",7
"1139",6
"1142",4
"1144",4
"1145",1
"1146",4
"1147",3
"1148",6
"1149",4
"1151",3
"1152",2
"1153",2
"1154",4
"1155",3
"1156",7
"1157",2
"1159",2
"1160",9
"1161",8
"1162",3
"1163",3
"1164",4
"1165",2
"1167",2
"1168",3
"1169",9
"1171",2
"1172",1
"1173",3
"1174",7
"1175",4
"1176",3
"1177",5
"1178",1
"1179",7
"1180",8
"1181",3
"1182",4
"1183",4
"1185",4
"1186",8
"1187",3
"1188",2
"1189",4
"1190",3
"1191",6
"1192",4
"1194",2
"1195",9
"1196",3
"1197",3
"1198",5
"1199",6
"1200",3
"1201",6
